condition_id,image_type,degradation,level,degradation_params,enhancement_method,enhancement_params,sample_count,inference_time_ms_per_image_mean,inference_time_ms_per_image_median,inference_time_ms_per_image_p95,latency_runs,latency_batch_size,latency_warmup_runs,psnr,ssim,delta_e_2000,image_metric_pixel_stride,delta_e_pixel_stride,mean_brightness,rms_contrast,edge_preservation_ratio,histogram_distance,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
clean,clean,clean,none,{},none,{},550,6.335813824999548,6.363205031249208,6.883513749999537,5,32,1,100.0,1.0,0.0,4.0,4.0,75.99466110805119,73.56089087311844,1.0,0.0,0.9018181818181819,0.9036252633227628,0.9024859281774177,0.902010778932825,0.9020575843021676
low_light__light__degraded,degraded,low_light,light,"{""gamma"": 1.5}",none,{},550,5.866860375000016,5.878707906248337,6.156618243750245,5,32,1,21.05969081623728,0.864999941637155,,4.0,4.0,61.76831704023654,61.26042563309402,0.9353795346314041,0.0856261372499907,0.9127272727272727,0.9124705802968961,0.9145527974783295,0.9126824198659641,0.9132395565306958
low_light__light__gamma_correction,enhanced,low_light,light,"{""gamma"": 1.5}",gamma_correction,{},550,6.49435073125062,6.415869656251516,7.429816687501045,5,32,1,46.21742168094334,0.9923724230708637,,4.0,4.0,79.5827682351577,68.18595810032653,1.0007352271059402,0.013454379809928592,0.9,0.9023106379884119,0.9005877800292694,0.9001663756157974,0.9004827653818384
low_light__light__clahe,enhanced,low_light,light,"{""gamma"": 1.5}",clahe,"{""clip_limit"": 1.5}",550,6.102380549999253,6.20708746874854,6.271142412500552,5,32,1,23.194501317248243,0.9099627779624626,,4.0,4.0,68.84194197066327,65.02366927165254,1.1547500254918648,0.06571969013891267,0.9036363636363637,0.9036886645728215,0.9040494483845547,0.9028320171072941,0.9039499487096222
low_light__medium__degraded,degraded,low_light,medium,"{""gamma"": 2.5}",none,{},550,6.993022231249313,6.725943437498216,8.145296049998763,5,32,1,14.712199702537776,0.6051082914221941,,4.0,4.0,41.91912213763914,51.57818732844136,0.7915948271927791,0.13088590893888447,0.8872727272727273,0.8833295965997434,0.8874793144208037,0.8844787255428652,0.8877448835355483
low_light__medium__gamma_correction,enhanced,low_light,medium,"{""gamma"": 2.5}",gamma_correction,{},550,7.186854812501053,7.187133687502012,7.700335643752254,5,32,1,34.57360455171927,0.9428442671909378,,4.0,4.0,78.12029677064007,68.89655506438007,1.0245378424401708,0.06311467526798058,0.8927272727272727,0.8945420295107432,0.8943377800292692,0.8929334605405017,0.8927973777188898
low_light__medium__clahe,enhanced,low_light,medium,"{""gamma"": 2.5}",clahe,"{""clip_limit"": 2.0}",550,6.769044612499897,6.4030125937506455,7.768671206248712,5,32,1,16.887485938625602,0.7043767532295137,,4.0,4.0,51.15839273712894,57.53523258497709,1.0074502920578354,0.10738610325144454,0.8836363636363637,0.8818600240958763,0.8840996847911742,0.8824222587869931,0.8840979567393188
low_light__strong__degraded,degraded,low_light,strong,"{""gamma"": 4.0}",none,{},550,5.726717443749152,5.622938750001083,6.114728399997915,5,32,1,11.957315822580103,0.43697680680186357,,4.0,4.0,28.12980614042208,42.51888925490619,0.6291613666617109,0.15478315297955877,0.8381818181818181,0.8356271484958564,0.8385050095688393,0.833669812168989,0.8386550663132318
low_light__strong__gamma_correction,enhanced,low_light,strong,"{""gamma"": 4.0}",gamma_correction,{},550,6.6193453937508195,6.456085250000854,7.22583378749988,5,32,1,24.431316808375076,0.8294191655833678,,4.0,4.0,72.77872565688776,70.80370751366898,1.0813367258958373,0.11510484490888405,0.889090909090909,0.8911764107121851,0.8938794607677586,0.8897104400348163,0.8892642473241317
low_light__strong__clahe,enhanced,low_light,strong,"{""gamma"": 4.0}",clahe,"{""clip_limit"": 2.0}",550,6.388190062499888,6.371173093750571,6.633051487499841,5,32,1,13.336406828374315,0.516251744673767,,4.0,4.0,35.759339728664195,48.80421456673787,0.8037003944980348,0.1369031808372952,0.8545454545454545,0.851663691901383,0.854806653157717,0.8515659644410981,0.855016516074439
