condition_id,image_type,degradation,level,enhancement_method,class,precision,recall,f1,support
clean,clean,clean,none,none,daisy,0.9101123595505618,0.8617021276595744,0.8852459016393442,94.0
clean,clean,clean,none,none,dandelion,0.9312977099236641,0.9037037037037037,0.9172932330827067,135.0
clean,clean,clean,none,none,roses,0.9473684210526315,0.9375,0.9424083769633508,96.0
clean,clean,clean,none,none,sunflowers,0.825,0.9428571428571428,0.88,105.0
clean,clean,clean,none,none,tulips,0.9043478260869565,0.8666666666666667,0.8851063829787233,120.0
low_light__light__degraded,degraded,low_light,light,none,daisy,0.9052631578947369,0.9148936170212766,0.91005291005291,94.0
low_light__light__degraded,degraded,low_light,light,none,dandelion,0.976,0.9037037037037037,0.9384615384615385,135.0
low_light__light__degraded,degraded,low_light,light,none,roses,0.9375,0.9375,0.9375,96.0
low_light__light__degraded,degraded,low_light,light,none,sunflowers,0.8376068376068376,0.9333333333333333,0.8828828828828829,105.0
low_light__light__degraded,degraded,low_light,light,none,tulips,0.905982905982906,0.8833333333333333,0.8945147679324894,120.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,daisy,0.9101123595505618,0.8617021276595744,0.8852459016393442,94.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,dandelion,0.937984496124031,0.8962962962962963,0.9166666666666666,135.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,roses,0.9468085106382979,0.9270833333333334,0.9368421052631579,96.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,sunflowers,0.8114754098360656,0.9428571428571428,0.8722466960352423,105.0
low_light__light__gamma_correction,enhanced,low_light,light,gamma_correction,tulips,0.9051724137931034,0.875,0.8898305084745762,120.0
low_light__light__clahe,enhanced,low_light,light,clahe,daisy,0.9325842696629213,0.8829787234042553,0.907103825136612,94.0
low_light__light__clahe,enhanced,low_light,light,clahe,dandelion,0.9538461538461539,0.9185185185185185,0.9358490566037736,135.0
low_light__light__clahe,enhanced,low_light,light,clahe,roses,0.89,0.9270833333333334,0.9081632653061225,96.0
low_light__light__clahe,enhanced,low_light,light,clahe,sunflowers,0.8305084745762712,0.9333333333333333,0.8789237668161435,105.0
low_light__light__clahe,enhanced,low_light,light,clahe,tulips,0.911504424778761,0.8583333333333333,0.8841201716738197,120.0
low_light__medium__degraded,degraded,low_light,medium,none,daisy,0.8526315789473684,0.8617021276595744,0.8571428571428571,94.0
low_light__medium__degraded,degraded,low_light,medium,none,dandelion,0.984,0.9111111111111111,0.9461538461538461,135.0
low_light__medium__degraded,degraded,low_light,medium,none,roses,0.8504672897196262,0.9479166666666666,0.896551724137931,96.0
low_light__medium__degraded,degraded,low_light,medium,none,sunflowers,0.8425925925925926,0.8666666666666667,0.8544600938967136,105.0
low_light__medium__degraded,degraded,low_light,medium,none,tulips,0.8869565217391304,0.85,0.8680851063829788,120.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,daisy,0.9101123595505618,0.8617021276595744,0.8852459016393442,94.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,dandelion,0.9236641221374046,0.8962962962962963,0.9097744360902256,135.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,roses,0.9183673469387755,0.9375,0.9278350515463918,96.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,sunflowers,0.8114754098360656,0.9428571428571428,0.8722466960352423,105.0
low_light__medium__gamma_correction,enhanced,low_light,medium,gamma_correction,tulips,0.9090909090909091,0.8333333333333334,0.8695652173913043,120.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,daisy,0.8804347826086957,0.8617021276595744,0.8709677419354839,94.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,dandelion,0.968,0.8962962962962963,0.9307692307692308,135.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,roses,0.8823529411764706,0.9375,0.9090909090909091,96.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,sunflowers,0.8272727272727273,0.8666666666666667,0.8465116279069768,105.0
low_light__medium__clahe,enhanced,low_light,medium,clahe,tulips,0.8512396694214877,0.8583333333333333,0.8547717842323651,120.0
low_light__strong__degraded,degraded,low_light,strong,none,daisy,0.7872340425531915,0.7872340425531915,0.7872340425531915,94.0
low_light__strong__degraded,degraded,low_light,strong,none,dandelion,0.967479674796748,0.8814814814814815,0.9224806201550387,135.0
low_light__strong__degraded,degraded,low_light,strong,none,roses,0.7479674796747967,0.9583333333333334,0.8401826484018264,96.0
low_light__strong__degraded,degraded,low_light,strong,none,sunflowers,0.83,0.7904761904761904,0.8097560975609757,105.0
low_light__strong__degraded,degraded,low_light,strong,none,tulips,0.8454545454545455,0.775,0.808695652173913,120.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,daisy,0.8723404255319149,0.8723404255319149,0.8723404255319149,94.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,dandelion,0.9508196721311475,0.8592592592592593,0.9027237354085603,135.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,roses,0.9207920792079208,0.96875,0.9441624365482234,96.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,sunflowers,0.7874015748031497,0.9523809523809523,0.8620689655172413,105.0
low_light__strong__gamma_correction,enhanced,low_light,strong,gamma_correction,tulips,0.9245283018867925,0.8166666666666667,0.8672566371681416,120.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,daisy,0.8387096774193549,0.8297872340425532,0.8342245989304813,94.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,dandelion,0.967741935483871,0.8888888888888888,0.9266409266409267,135.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,roses,0.7894736842105263,0.9375,0.8571428571428571,96.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,sunflowers,0.8333333333333334,0.8095238095238095,0.821256038647343,105.0
low_light__strong__clahe,enhanced,low_light,strong,clahe,tulips,0.8290598290598291,0.8083333333333333,0.8185654008438819,120.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,daisy,0.9069767441860465,0.8297872340425532,0.8666666666666667,94.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,dandelion,0.9166666666666666,0.8962962962962963,0.9063670411985019,135.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,roses,0.8157894736842105,0.96875,0.8857142857142857,96.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,sunflowers,0.825,0.9428571428571428,0.88,105.0
gaussian_noise__light__degraded,degraded,gaussian_noise,light,none,tulips,0.9387755102040817,0.7666666666666667,0.8440366972477065,120.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,daisy,0.9493670886075949,0.7978723404255319,0.8670520231213873,94.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,dandelion,0.8689655172413793,0.9333333333333333,0.9,135.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,roses,0.8761904761904762,0.9583333333333334,0.9154228855721394,96.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,sunflowers,0.868421052631579,0.9428571428571428,0.9041095890410958,105.0
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,gaussian_filter,tulips,0.9252336448598131,0.825,0.8722466960352423,120.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,daisy,0.9186046511627907,0.8404255319148937,0.8777777777777778,94.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,dandelion,0.9084507042253521,0.9555555555555556,0.9314079422382672,135.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,roses,0.8823529411764706,0.9375,0.9090909090909091,96.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,sunflowers,0.8990825688073395,0.9333333333333333,0.9158878504672897,105.0
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,bilateral_filter,tulips,0.9099099099099099,0.8416666666666667,0.8744588744588745,120.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,daisy,0.9365079365079365,0.6276595744680851,0.7515923566878981,94.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,dandelion,0.8028169014084507,0.8444444444444444,0.8231046931407943,135.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,roses,0.6814814814814815,0.9583333333333334,0.7965367965367965,96.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,sunflowers,0.7401574803149606,0.8952380952380953,0.8103448275862069,105.0
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,none,tulips,0.891566265060241,0.6166666666666667,0.729064039408867,120.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,daisy,0.9552238805970149,0.6808510638297872,0.7950310559006211,94.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,dandelion,0.8141025641025641,0.9407407407407408,0.872852233676976,135.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,roses,0.6690647482014388,0.96875,0.7914893617021277,96.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,sunflowers,0.8623853211009175,0.8952380952380953,0.8785046728971962,105.0
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,gaussian_filter,tulips,0.9367088607594937,0.6166666666666667,0.7437185929648241,120.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,daisy,0.9315068493150684,0.723404255319149,0.8143712574850299,94.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,dandelion,0.8246753246753247,0.9407407407407408,0.8788927335640139,135.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,roses,0.6764705882352942,0.9583333333333334,0.7931034482758621,96.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,sunflowers,0.8468468468468469,0.8952380952380953,0.8703703703703703,105.0
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,bilateral_filter,tulips,0.9210526315789473,0.5833333333333334,0.7142857142857143,120.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,daisy,0.45588235294117646,0.32978723404255317,0.38271604938271603,94.0
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,none,dandelion,0.532608695652174,0.725925925925926,0.6144200626959248,135.0
