condition_id,image_type,degradation,level,degradation_params,enhancement_method,enhancement_params,sample_count,inference_time_ms_per_image_mean,inference_time_ms_per_image_median,inference_time_ms_per_image_p95,latency_runs,latency_batch_size,latency_warmup_runs,psnr,ssim,delta_e_2000,mean_brightness,rms_contrast,edge_preservation_ratio,histogram_distance,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
clean,clean,clean,none,{},none,{},10,22.725010011345148,22.725010011345148,22.725010011345148,1,10,1,100.0,1.0,0.0,67.32367400085033,72.59197022883068,1.0,0.0,0.2,0.15,0.2,0.16666666666666666,0.16666666666666666
low_light__light__degraded,degraded,low_light,light,"{""gamma"": 1.5}",none,{},10,24.19811999425292,24.19811999425292,24.19811999425292,1,10,1,21.013675612768193,0.8307012575764838,,52.15009066685267,60.62216083911004,0.9311914112243281,0.06308343825626232,0.2,0.15,0.2,0.16666666666666666,0.16666666666666666
low_light__light__gamma_correction,enhanced,low_light,light,"{""gamma"": 1.5}",gamma_correction,{},10,24.616310000419617,24.616310000419617,24.616310000419617,1,10,1,45.02356072836981,0.9831087444386766,,69.51004769411671,68.16271741498034,1.0040645267699695,0.011039769934491253,0.2,0.15,0.2,0.16666666666666666,0.16666666666666666
low_light__light__clahe,enhanced,low_light,light,"{""gamma"": 1.5}",clahe,"{""clip_limit"": 1.5}",10,26.291869999840856,26.291869999840856,26.291869999840856,1,10,1,24.194098404745297,0.8927927296696497,,61.11314903938138,65.8386210129826,1.179891604095194,0.04421732197161587,0.2,0.08333333333333333,0.2,0.11666666666666665,0.11666666666666665
low_light__medium__degraded,degraded,low_light,medium,"{""gamma"": 2.5}",none,{},10,21.725600003264844,21.725600003264844,21.725600003264844,1,10,1,14.722888348976678,0.5763001675433693,,33.615592578125,49.895251876543725,0.7812494117572036,0.10799049907778328,0.1,0.04,0.1,0.05714285714285714,0.05714285714285714
low_light__medium__gamma_correction,enhanced,low_light,medium,"{""gamma"": 2.5}",gamma_correction,{},10,27.79504000209272,27.79504000209272,27.79504000209272,1,10,1,32.44840027494583,0.8904691721752979,,67.39830260881698,69.32608202864502,1.0301842877404759,0.07949065630430667,0.2,0.15,0.2,0.16666666666666666,0.16666666666666666
low_light__medium__clahe,enhanced,low_light,medium,"{""gamma"": 2.5}",clahe,"{""clip_limit"": 2.5}",10,23.066639993339777,23.066639993339777,23.066639993339777,1,10,1,17.777065080820726,0.6832202288896413,,45.596248666693235,58.74994145462021,1.0820321337357512,0.0800905453248382,0.3,0.15714285714285714,0.3,0.18888888888888888,0.18888888888888888
low_light__strong__degraded,degraded,low_light,strong,"{""gamma"": 4.0}",none,{},10,24.53705999068916,24.53705999068916,24.53705999068916,1,10,1,12.009917768069215,0.43093993064689007,,21.264485614636477,40.09689978645015,0.6144920706723738,0.13566690334441028,0.3,0.14666666666666667,0.3,0.19428571428571428,0.19428571428571428
low_light__strong__gamma_correction,enhanced,low_light,strong,"{""gamma"": 4.0}",gamma_correction,{},10,21.15556001663208,21.15556001663208,21.15556001663208,1,10,1,23.554568581971772,0.7662781938466212,,61.733651893335455,71.32401724890815,1.0697399536968488,0.12969068247803225,0.3,0.30666666666666664,0.3,0.2704761904761905,0.2704761904761905
low_light__strong__clahe,enhanced,low_light,strong,"{""gamma"": 4.0}",clahe,"{""clip_limit"": 2.0}",10,37.25938000716269,37.25938000716269,37.25938000716269,1,10,1,13.63288812616222,0.5043448070370721,,29.422388046077806,47.96170989821729,0.8215523248120711,0.11483425256382274,0.3,0.16666666666666666,0.3,0.2,0.2
gaussian_noise__light__degraded,degraded,gaussian_noise,light,"{""sigma"": 10.0}",none,{},10,21.74736000597477,21.74736000597477,21.74736000597477,1,10,1,29.132063680972283,0.697909902505209,,71.31966170679209,67.21800250354133,1.0950349627616407,0.029835550895037376,0.3,0.2,0.3,0.24000000000000005,0.24000000000000005
gaussian_noise__light__gaussian_filter,enhanced,gaussian_noise,light,"{""sigma"": 10.0}",gaussian_filter,"{""sigma"": 1.3}",10,24.240750004537404,24.240750004537404,24.240750004537404,1,10,1,23.302102394469973,0.6462657592198268,,70.81996995774873,62.111222252713354,0.5977392385457044,0.037159466546840145,0.4,0.2,0.4,0.26666666666666666,0.26666666666666666
gaussian_noise__light__bilateral_filter,enhanced,gaussian_noise,light,"{""sigma"": 10.0}",bilateral_filter,"{""range_sigma"": 60}",10,31.83029000647366,31.83029000647366,31.83029000647366,1,10,1,29.77013836902857,0.7721341405017622,,70.69627442004145,65.61465167469021,0.7922874189605003,0.02763621075412742,0.3,0.14666666666666667,0.3,0.19428571428571428,0.19428571428571428
gaussian_noise__medium__degraded,degraded,gaussian_noise,medium,"{""sigma"": 25.0}",none,{},10,20.821449998766184,20.821449998766184,20.821449998766184,1,10,1,21.427104302030347,0.46093787996542995,,73.55238715322066,66.12344228946975,1.321348924708393,0.04384657498945409,0.4,0.3,0.4,0.3333333333333333,0.3333333333333333
gaussian_noise__medium__gaussian_filter,enhanced,gaussian_noise,medium,"{""sigma"": 25.0}",gaussian_filter,"{""sigma"": 1.0}",10,21.046989993192255,21.046989993192255,21.046989993192255,1,10,1,23.507633397662016,0.5593600684842334,,73.05222795161032,60.873036076871244,0.7316262136948941,0.09816843424768262,0.3,0.20666666666666664,0.3,0.23714285714285716,0.23714285714285716
gaussian_noise__medium__bilateral_filter,enhanced,gaussian_noise,medium,"{""sigma"": 25.0}",bilateral_filter,"{""range_sigma"": 40}",10,46.46131000481546,46.46131000481546,46.46131000481546,1,10,1,25.691695557086547,0.598466244252186,,72.66294175302933,64.80041310320057,0.9794175727952548,0.0814873285968796,0.2,0.2,0.2,0.2,0.2
gaussian_noise__strong__degraded,degraded,gaussian_noise,strong,"{""sigma"": 50.0}",none,{},10,23.35016999859363,23.35016999859363,23.35016999859363,1,10,1,15.809490483147467,0.2875973377420698,,77.95381303013393,65.46147014962932,1.7531509836764283,0.05728738388558944,0.4,0.45714285714285713,0.4,0.3555555555555555,0.3555555555555555
gaussian_noise__strong__gaussian_filter,enhanced,gaussian_noise,strong,"{""sigma"": 50.0}",gaussian_filter,"{""sigma"": 1.3}",10,23.283610004000366,23.283610004000366,23.283610004000366,1,10,1,20.562857018022278,0.43293723034511294,,77.45436939971302,55.48306967942379,0.6553873536286393,0.15904758039671998,0.3,0.20666666666666664,0.3,0.23714285714285716,0.23714285714285716
gaussian_noise__strong__bilateral_filter,enhanced,gaussian_noise,strong,"{""sigma"": 50.0}",bilateral_filter,"{""range_sigma"": 60}",10,29.336610017344356,29.336610017344356,29.336610017344356,1,10,1,19.557426257069658,0.3893660740095977,,76.53433723493305,62.01003232358197,1.1929567176011588,0.130788294907177,0.3,0.18333333333333332,0.3,0.22666666666666666,0.22666666666666666
salt_pepper__light__degraded,degraded,salt_pepper,light,"{""amount"": 0.01}",none,{},10,29.818769986741245,29.818769986741245,29.818769986741245,1,10,1,24.013689048097483,0.8559030663861954,,71.13755059590241,69.37856725664705,1.149807013193976,0.008603538095297656,0.2,0.25,0.2,0.2,0.2
salt_pepper__light__median_filter,enhanced,salt_pepper,light,"{""amount"": 0.01}",median_filter,"{""kernel"": 5}",10,22.111600008793175,22.111600008793175,22.111600008793175,1,10,1,23.218011877787074,0.7748885580129858,,69.6859864835778,65.5827809246831,0.5864101005849924,0.02210080785476686,0.2,0.08,0.2,0.11428571428571428,0.11428571428571428
salt_pepper__light__gaussian_filter,enhanced,salt_pepper,light,"{""amount"": 0.01}",gaussian_filter,"{""sigma"": 1.0}",10,35.38570997770876,35.38570997770876,35.38570997770876,1,10,1,24.449426728241622,0.7744580753525455,,70.731751042331,63.77978911315174,0.7293051300751856,0.030419348623191716,0.2,0.16666666666666666,0.2,0.18,0.18
salt_pepper__medium__degraded,degraded,salt_pepper,medium,"{""amount"": 0.03}",none,{},10,22.921770019456744,22.921770019456744,22.921770019456744,1,10,1,19.31962406410573,0.6498061354445097,,72.2662357302296,71.55193241509437,1.4279307124547649,0.01876869388348507,0.1,0.06666666666666667,0.1,0.08,0.08
salt_pepper__medium__median_filter,enhanced,salt_pepper,medium,"{""amount"": 0.03}",median_filter,"{""kernel"": 5}",10,22.271579992957413,22.271579992957413,22.271579992957413,1,10,1,23.174322667969793,0.7738842957779607,,69.68501478196748,65.57927485355525,0.5883052016041658,0.022086754783892503,0.3,0.14666666666666667,0.3,0.19428571428571428,0.19428571428571428
salt_pepper__medium__gaussian_filter,enhanced,salt_pepper,medium,"{""amount"": 0.03}",gaussian_filter,"{""sigma"": 0.7}",10,31.512479996308684,31.512479996308684,31.512479996308684,1,10,1,24.048160138462755,0.6823311587956227,,71.84849543606506,64.484354916032,1.016385951136449,0.03047767647414833,0.2,0.15,0.2,0.16666666666666666,0.16666666666666666
salt_pepper__strong__degraded,degraded,salt_pepper,strong,"{""amount"": 0.07}",none,{},10,23.709009983576834,23.709009983576834,23.709009983576834,1,10,1,15.642671020058216,0.42226962007228,,74.53112204041773,75.60063642176571,1.9317207024248924,0.03304133960721812,0.1,0.05,0.1,0.06666666666666667,0.06666666666666667
salt_pepper__strong__median_filter,enhanced,salt_pepper,strong,"{""amount"": 0.07}",median_filter,"{""kernel"": 5}",10,20.442919991910458,20.442919991910458,20.442919991910458,1,10,1,23.022578998465086,0.7713437791921602,,69.70678703364158,65.61522250101581,0.5915951484865525,0.02186221950199465,0.2,0.10666666666666666,0.2,0.13714285714285715,0.13714285714285715
